CNPJ_CIA,DENOM_SOCIAL,SIT,DT_REG,DT_CONST,DT_CANCEL
33.074.691/0001-27,CIA AMERICA SUL CFI,CANCELADA,7/20/1977,,5/19/1989
33.490.095/0001-28,CIA AUXILIAR EMP MIN CAEMI,CANCELADA,11/25/1981,,5/6/1991
58.128.174/0001-14,CIA BANDEIRANTES ARMS GERAIS,CANCELADA,7/20/1977,2/25/1966,5/20/2011
17.167.362/0001-74,CIA BANDEIRANTES CFI,CANCELADA,7/20/1977,,7/21/1997
42.584.128/0001-90,CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES,CANCELADA,7/20/1977,,12/20/2005
42.113.662/0001-18,CIA BOZANO SIMONSEN COM IND,CANCELADA,7/20/1977,,4/22/1992
33.316.100/0001-80,CIA BRAS MATERIAIS COBRACO,CANCELADA,11/11/1968,,5/29/1987
61.079.315/0001-60,CIA BRAS PLASTICOS MONSANTO,CANCELADA,11/18/1971,,10/16/1985
61.156.410/0001-10,CIA BRAS PROJETOS OBRAS CBPO,CANCELADA,8/23/1982,,1/14/1993
07.203.144/0001-94,CIA BRASILEIRA DE ESTRUTURAS METALICAS,CANCELADA,11/4/1982,2/8/1962,11/13/2007
78.588.415/0001-15,CIA CACIQUE CAFE SOLUVEL,CANCELADA,7/20/1977,10/17/1959,3/23/2015
82.508.433/0001-17,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,ATIVO,2/6/1998,12/31/1970,
33.366.980/0001-08,CIA CERVEJARIA BRAHMA,CANCELADA,6/30/1978,,11/8/2000
03.468.832/0001-25,CIA CERVEJARIA CUIABANA,CANCELADA,1/4/1967,,10/24/1997
09.934.407/0001-60,CIA CIMENTO ATOL,CANCELADA,10/29/1973,,11/27/1995
60.869.302/0001-22,CIA CIMENTO IPANEMA,CANCELADA,5/24/1978,,2/6/1991
89.724.017/0001-03,CIA CIMENTO PORTL GAUCHO,CANCELADA,3/17/1970,,4/12/1993
33.160.318/0001-99,CIA CIMENTO PORTL PARAISO,CANCELADA,1/7/1970,,3/31/1997
15.218.084/0001-01,CIA CIMENTO SALVADOR,CANCELADA,11/21/1972,,6/24/1988
61.422.663/0001-99,CIA COMERCIAL BORBA CAMPO,CANCELADA,9/10/1969,,11/22/2006
82.636.887/0001-73,CIA COML SCHRADER,CANCELADA,7/20/1977,,9/28/2000
33.034.901/0001-53,CIA CONSTRUTORA PEDERNEIRAS,CANCELADA,10/31/1985,,3/21/2006
09.123.654/0001-87,CIA DE AGUA E ESGOTO DA PARAIBA,CANCELADA,2/17/2006,12/31/1966,6/24/2011
15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,ATIVO,7/28/1994,9/22/1966,
02.016.507/0001-69,CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL,ATIVO,5/24/2024,8/5/1997,
01.938.783/0001-11,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA,ATIVO,7/26/2000,5/14/1997,
04.652.792/0001-30,CIA DE RECUPERAÇÃO SECUNDÁRIA,CANCELADA,2/7/2002,6/1/2001,6/28/2012
03.631.397/0001-08,CIA DES ARAGUAIA CODEARA,CANCELADA,10/30/1984,,5/18/1992
05.770.003/0001-28,CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA,CANCELADA,7/20/1977,,8/9/2005
84.208.123/0001-02,CIA DOCAS DE IMBITUBA,CANCELADA,7/20/1977,1/2/1923,11/28/2017
07.047.251/0001-70,CIA ENERG CEARA - COELCE,ATIVO,6/13/1995,8/30/1971,
17.155.730/0001-64,CIA ENERG MINAS GERAIS - CEMIG,ATIVO,6/30/1971,5/22/1952,
10.835.932/0001-08,CIA ENERGÉTICA DE PERNAMBUCO - CELPE,ATIVO,4/29/1994,2/10/1965,
08.324.196/0001-81,CIA ENERGÉTICA DO RIO GRANDE DO NORTE,ATIVO,1/4/1999,12/14/1961,
02.201.268/0001-17,CIA ENERGETICA MERIDIONAL,CANCELADA,2/26/1998,10/22/1997,3/28/2008
33.352.394/0001-04,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,ATIVO,7/28/1997,8/1/1975,
08.467.115/0001-00,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,ATIVO,4/17/2007,12/1/2006,
92.715.812/0001-31,CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA,ATIVO,1/7/1970,12/19/1963,
10.783.777/0001-23,CIA FABRICA YOLANDA,CANCELADA,3/24/1972,,8/9/2005
16.718.231/0001-75,CIA FABRIL MASCARENHAS,CANCELADA,11/26/1982,4/26/1912,4/26/2006
18.977.124/0001-97,CIA FERRO BRASILEIRO,CANCELADA,7/16/1968,,12/26/1991
15.141.799/0001-03,CIA FERRO LIGAS BAHIA FERBASA,ATIVO,2/28/1961,2/23/1961,
23.116.551/0001-10,CIA FIAÇÃO TECELAGEM PARA MINAS,CANCELADA,12/4/1969,,1/4/2010
92.659.325/0001-07,CIA GERAL DE INDUSTRIAS,CANCELADA,9/30/1969,9/30/1914,3/18/2008
82.639.139/0001-44,CIA HERING,CANCELADA,6/17/1966,,4/30/1999
78.876.950/0001-71,CIA HERING,CANCELADA,1/26/1995,8/19/1985,2/23/2022
33.541.368/0001-16,CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,ATIVO,12/19/1969,3/15/1948,
33.433.822/0001-15,CIA INDL AGRIC SANTA CECILIA,CANCELADA,7/20/1977,,11/29/2001
04.384.319/0001-19,CIA INDL AMAZONENSE,CANCELADA,8/20/1971,,7/10/1998
61.074.506/0001-30,CIA INDL MERC ARTEF FERRO,CANCELADA,12/3/1969,,9/9/1999
56.969.355/0001-48,CIA INDL MERC PAOLETTI,CANCELADA,7/20/1977,,2/14/1992
07.285.448/0001-48,CIA INDL MICHELETTO,CANCELADA,12/17/1982,,5/9/1988
92.779.438/0001-38,CIA INDL RIO GUAHYBA,CANCELADA,1/6/1976,,7/12/1993
33.174.145/0001-68,CIA INDL SAO PAULO RIO CISPER,CANCELADA,7/10/1980,,5/3/1988
07.785.306/0001-40,CIA INDUSTRIAL AGROPECUARIA CONAPE,CANCELADA,7/20/1977,,11/1/2005
17.161.316/0001-68,CIA INDUSTRIAL BELO HORIZONTE,CANCELADA,8/8/1969,,8/9/2005
07.998.164/0001-07,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,CANCELADA,4/26/1991,,3/22/2005
33.041.120/0001-96,CIA INDUSTRIAL DOX,CANCELADA,9/20/1982,,8/7/1997
07.197.411/0001-68,CIA INDUSTRIAL PELES COUROS,CANCELADA,10/17/1974,,3/22/2005
19.711.282/0001-63,CIA INDUSTRIAL SANTA MATILDE,CANCELADA,6/28/1980,,1/4/2010
82.981.929/0001-03,CIA INDUSTRIAL SCHLOSSER S.A.,ATIVO,6/28/1985,1833-10-21,
01.222.069/0001-22,CIA INTER-ATLANTICO PARTICIPS,CANCELADA,10/10/1996,,3/3/1997
42.584.060/0001-49,CIA INTERNACIONAL FIDUCIARIA,CANCELADA,6/5/1976,,5/12/1989
04.904.199/0001-33,CIA INVEST DO PARA,CANCELADA,12/29/1979,,11/10/1986
00.189.469/0001-10,CIA INVESTS LATINOAMERICANA,CANCELADA,1/6/1995,,1/13/2003
92.753.367/0001-02,CIA IOCHPE,CANCELADA,6/23/1980,,8/3/1993
60.434.487/0001-42,CIA LECO DE PRODS ALIMENTICIOS,CANCELADA,8/17/1981,12/22/1974,2/20/2009
78.597.697/0001-17,CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO,CANCELADA,7/31/1986,,8/7/2007
04.971.941/0001-23,CIA MADEIREIRA SAO MIGUEL,CANCELADA,10/19/1973,,8/9/2005
06.272.199/0001-93,CIA MARANHENSE REFRIGERANTES,CANCELADA,9/28/1971,6/30/1966,5/19/2010
22.664.890/0001-79,CIA MATS SULFUROSOS MATSULFUR,CANCELADA,11/21/1972,,11/30/2002
91.154.690/0001-99,CIA MINUANO DE ALIMENTOS,CANCELADA,1/23/1985,,8/13/1991
71.039.119/0001-16,CIA NAC FRIGORIFICOS CONFRIO,CANCELADA,7/20/1977,,4/14/1989
33.098.112/0001-86,CIA NACIONAL DE ALCALIS,CANCELADA,5/15/1996,7/20/1943,1/4/2010
71.444.582/0001-43,CIA NACIONAL ESTAMPARIA CIANE,CANCELADA,8/11/1982,,1/4/2010
33.630.120/0001-21,CIA NAVEGACAO LLOYD BRASILEIRO,CANCELADA,7/20/1977,,10/24/1997
61.150.348/0001-50,CIA NITROQUIMICA BRASILEIRA,CANCELADA,9/20/1935,,8/3/1990
10.804.300/0001-87,CIA PARAIBA CIM PORTL CIMEPAR,CANCELADA,10/19/1971,,11/27/1995
01.596.401/0001-19,CIA PAULISTA DE ADM DE ATIVOS,CANCELADA,12/4/1997,,11/4/1999
57.484.495/0001-99,CIA PAULISTA DE LAMINACAO,CANCELADA,9/29/1950,,4/27/1988
61.015.582/0001-74,CIA PAULISTA ENERGIA ELETRICA,CANCELADA,1/20/1972,,3/16/2001
61.087.912/0001-37,CIA PAULISTA FERTILIZANTES,CANCELADA,6/11/1969,12/28/1945,1/9/2007
00.091.652/0001-89,CIA PESQS RECURSOS MINERAIS,CANCELADA,11/22/1973,,7/24/1997
02.854.397/0001-04,CIA PETROLIFERA MARLIM,CANCELADA,3/7/2001,11/3/1998,8/17/2009
04.172.213/0001-51,CIA PIRATININGA DE FORÇA E LUZ,ATIVO,4/18/2002,12/1/2000,
15.213.374/0001-62,CIA PNEUS TROPICAL,CANCELADA,7/20/1977,,9/25/1991
58.143.967/0001-02,CIA PRODUTORES ARMS GERAIS,CANCELADA,7/20/1977,,4/15/1994
33.000.035/0001-80,CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU,CANCELADA,6/29/1966,,1/4/2010
04.200.649/0001-07,CIA PROVINCIA DE SECURITIZAÇÃO,CANCELADA,8/21/2003,10/18/2000,3/17/2023
13.837.489/0001-00,CIA QUIMICA METACRIL,CANCELADA,10/20/1977,,11/26/1992
92.691.120/0001-09,CIA RIOGRANDENSE DE ADUBOS,CANCELADA,8/17/1950,,12/19/1990
92.802.784/0001-90,CIA RIOGRANDENSE DE SANEAMENTO,ATIVO,12/19/1997,12/21/1965,
92.794.486/0001-03,CIA RIOGRANDENSE TELECOMUNICAÇÕES,CANCELADA,3/21/1969,,12/28/2000
33.035.759/0001-69,CIA SALINAS PERYNAS,CANCELADA,8/10/1982,,7/16/1986
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,ATIVO,6/27/1994,9/6/1973,
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,ATIVO,6/27/1994,9/6/1973,
61.360.434/0001-97,CIA SANTISTA DE PAPEL,CANCELADA,7/20/1977,,3/22/2001
35.522.178/0001-87,CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II,ATIVO,7/29/2021,9/16/2019,
15.144.017/0001-90,CIA SEGUROS ALIANCA DA BAHIA,CANCELADA,7/20/1977,1/15/1900,3/8/2024
60.405.925/0001-44,CIA SEGUROS AMER SUL YASUDA,CANCELADA,7/20/1977,,3/6/1992
15.104.490/0001-43,CIA SEGUROS BAHIA,CANCELADA,7/20/1977,,7/2/1997
17.197.385/0001-21,CIA SEGUROS MINAS BRASIL,CANCELADA,7/20/1977,5/3/1938,10/14/2009
33.432.139/0001-63,CIA SEGUROS RIO BRANCO,CANCELADA,10/21/1985,,1/16/1990
33.158.031/0001-24,CIA SERVICOS ENGA SERVIENGE,CANCELADA,7/20/1977,,1/8/1998
12.287.314/0001-04,CIA SID ALAGOAS COMESA,CANCELADA,9/29/1982,,3/18/1994
10.806.057/0001-36,CIA SID NORDESTE,CANCELADA,8/9/1972,,3/21/1995
20.141.321/0001-13,CIA SID PAINS,CANCELADA,1/6/1971,,6/30/1997
04.561.023/0001-26,CIA SIDERURGICA AMAZONIA,CANCELADA,10/20/1970,,9/22/1999
61.045.381/0001-10,CIA SIDERURGICA MOGI CRUZES(sucedida pela UNIÂO FEDERAL -CNPJ:37115383000153,CANCELADA,10/7/1971,,3/22/2005
33.042.730/0001-04,CIA SIDERURGICA NACIONAL,ATIVO,2/26/1943,4/9/1941,
33.042.730/0001-04,CIA SIDERURGICA NACIONAL,ATIVO,2/26/1943,4/9/1941,
33.000.076/0001-76,CIA T JANER COM IND,CANCELADA,7/20/1977,,4/9/1991
22.677.520/0001-76,CIA TECIDOS NORTE DE MINAS - COTEMINAS - EM RECUPERAÃ+O JUDICIAL,ATIVO,2/11/1971,12/5/1967,
21.255.567/0001-89,CIA TECIDOS SANTANENSE - EM RECUPERAÃ+O JUDICIAL,ATIVO,12/20/1984,1891-10-23,
60.830.833/0001-01,CIA TECNICA DE ENGENHARIA ELETRIC A,CANCELADA,9/8/1999,9/9/1960,1/15/2008
57.486.177/0001-67,CIA TELEF BORDA DO CAMPO,CANCELADA,10/20/1977,,11/30/1999
92.195.189/0001-33,CIA TELEF MELHOR RESIST,CANCELADA,5/20/1981,,2/28/2000
33.460.809/0001-55,CIA TELEFONES DO RJ CETEL,CANCELADA,9/11/1968,,1/2/1990
01.447.243/0001-35,CIA TERRAS BONSUCESSO,CANCELADA,10/22/1996,,5/13/1999
05.389.812/0001-94,CIA TEXTIL CASTANHAL,CANCELADA,10/19/1971,,3/8/1999
01.540.533/0001-29,CIA THERMAS RIO QUENTE,CANCELADA,12/27/1973,,7/14/2004
92.682.038/0001-00,CIA UNIAO SEGUROS GERAIS,CANCELADA,7/20/1977,,11/9/1998
92.690.643/0001-22,CIA VINICOLA RIO GRANDENSE,CANCELADA,5/2/1966,,11/29/1993
84.684.950/0001-72,CIA WETZEL INDL,CANCELADA,11/24/1970,,8/9/2005
33.069.766/0001-81,CIA. BRAS PETRÓLEO IPIRANGA,CANCELADA,6/27/1968,5/2/1959,7/17/2008
10.919.934/0001-85,CIA. DE CIMENTOS DO BRASIL,CANCELADA,12/22/1971,,4/7/2004
76.484.013/0001-45,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR,ATIVO,3/10/2000,1/23/1963,
33.938.119/0001-69,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,ATIVO,11/17/1997,5/28/1969,
76.255.926/0001-90,CIA. IGUAÇU DE CAFÉ SOLÚVEL,CANCELADA,7/20/1977,6/22/1967,10/9/2014
36.729.398/0001-49,CIA. SEC. DE CRÉDITOS FINANCEIROS VERT-PROVI II,CANCELADA,7/19/2021,1/30/2020,6/30/2022
40.885.785/0001-41,CIA. SECURITIZADORA DE CRED. FIN. VERT-UME,CANCELADA,11/11/2021,1/26/2021,6/30/2022
30.545.324/0001-76,CIA. SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARGAPAY,CANCELADA,10/26/2020,12/5/2017,6/30/2022
50.930.098/0001-54,CICA SA,CANCELADA,7/20/1977,,1/27/1994
91.623.892/0001-32,CICADE CURTUME SA,CANCELADA,9/22/1987,5/22/1987,1/9/2007
10.790.616/0001-67,CICANORTE IND DE CONS ALIM SA,CANCELADA,3/28/1978,,5/22/2006
10.319.900/0001-50,CICLUS AMBIENTAL DO BRASIL S.A.,ATIVO,8/25/2022,8/8/2008,
01.102.817/0001-33,CIDADELA TRUST RECEBIVEIS SA,CANCELADA,5/24/1996,2/23/1996,3/18/2008
01.027.058/0001-91,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,ATIVO,6/25/2009,11/23/1995,
15.115.520/0001-17,CIMBA SA INDUSTRIA E COMERCIO,CANCELADA,9/29/1971,,8/9/2005
15.847.775/0001-74,CIMENTO ARATU SA,CANCELADA,9/8/1969,,12/8/1995
17.283.599/0001-10,CIMENTO CAUE SA,CANCELADA,7/4/1969,,9/26/1994
03.372.786/0001-66,CIMENTO ITAU DE CORUMBA SA,CANCELADA,7/23/1971,,3/11/1988
33.815.580/0001-24,CIMENTO MAUA SA,CANCELADA,11/13/1989,,12/23/1997
03.478.054/0001-55,CIMENTO PORTLAND M GROSSO SA,CANCELADA,6/5/1968,,6/14/1995
49.870.397/0001-61,CIMENTO SANTA RITA SA,CANCELADA,6/4/1952,,7/24/1990
00.065.557/0001-00,CIMENTO TOCANTINS SA,CANCELADA,3/23/1970,,4/23/1993
33.039.223/0001-11,CIMENTO TUPI SA,CANCELADA,4/14/1983,,11/28/1990
33.039.223/0001-11,CIMENTO TUPI SA,CANCELADA,6/13/2012,4/13/1949,8/22/2017
17.379.827/0001-50,CIMETAL SIDERURGIA SA - EM LIQUIDAÇÃO,CANCELADA,1/27/1972,,4/12/2005
60.869.336/0001-17,CIMINAS  CIMENTO NAC MINAS SA,CANCELADA,5/31/1984,,11/18/1992
34.177.279/0001-03,CIMOB PARTICIPAÇÕES SA,CANCELADA,7/20/1977,1/1/1972,7/9/2012
00.272.185/0001-93,CIMS SA,ATIVO,3/14/1995,10/21/1994,
07.437.016/0001-05,CINESYSTEM S.A.,CANCELADA,7/20/2016,5/24/2005,9/5/2023
07.126.899/0001-32,CIPA CIA INDL PRODS ALIM,CANCELADA,11/23/1982,,7/19/1991
82.166.711/0001-03,CIPLA SA,CANCELADA,10/14/1991,8/22/1990,1/4/2010
15.106.693/0001-79,CIQUINE CIA INDS QUIMS DO NE,CANCELADA,1/22/1969,,6/20/1990
84.043.009/0001-70,CIRCULO S/A,CANCELADA,4/15/1983,,5/26/2004
31.918.584/0001-02,CITI CP MERCANTIL SA,CANCELADA,12/16/1997,1/1/1988,10/29/2002
34.112.128/0001-69,CITIBANK LEASING S.A. - ARREND.MERCANTIL,CANCELADA,4/14/1983,7/30/1976,5/19/2004
34.112.128/0001-69,CITIBANK LEASING S.A. - ARREND.MERCANTIL,CANCELADA,1/3/2008,4/30/1976,3/30/2010
60.867.843/0001-11,CITROBRASIL SA,CANCELADA,7/20/1977,,2/23/1988
68.400.225/0001-79,CLARANET TECHNOLOGY S.A.,ATIVO,12/22/2021,8/25/1992,
24.956.666/0001-86,CLARION S/A AGROINDUSTRIAL,CANCELADA,11/26/1999,10/12/1988,12/18/2014
07.043.628/0001-13,CLARO TELECOM PARTICIPAÇÕES S.A.,ATIVO,12/5/2014,9/27/2004,
03.802.115/0001-98,CLEAR SALE S.A,ATIVO,7/28/2021,4/24/2000,
43.514.079/0001-81,CLI SUL S.A.,ATIVO,7/19/2023,9/14/2021,
60.882.610/0001-98,CLIMAX INDUSTRIA E COMERCIO SA,CANCELADA,9/17/1969,,12/29/1992
03.016.682/0001-19,CLINICA MÉDICA VITA S.A,CANCELADA,9/21/1999,2/22/1999,10/20/2006
00.484.920/0001-22,CLUBEPAR SA,CANCELADA,8/7/1995,2/7/1995,10/31/2003
12.420.164/0001-57,CM HOSPITALAR S.A,ATIVO,4/14/2021,8/9/2010,
31.959.356/0001-80,CMA PARTICIPAÇÕES SA,CANCELADA,6/24/1988,,5/17/2005
29.116.951/0001-02,CMP CIA DE MINERACAO E PART,CANCELADA,7/12/1986,,8/4/1992
06.571.822/0001-09,CNV CIA NACIONAL DO VESTUARIO,CANCELADA,7/2/1986,,2/14/2007
04.030.087/0001-09,COARI PARTICIPAÇÕES SA,CANCELADA,10/29/2001,7/31/2000,2/27/2012
61.576.385/0001-24,COBRASFER SA,CANCELADA,10/2/1973,,12/20/2005
61.080.313/0001-91,COBRASMA SA,ATIVO,12/12/1979,9/19/1944,
32.372.085/0001-25,COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.,CANCELADA,5/23/2019,11/14/2018,6/30/2022
00.826.535/0001-16,CODUNAS SA,CANCELADA,12/12/1995,8/22/1995,9/1/2006
17.174.418/0001-18,COEMP COMERCIO E EMPREEND SA,CANCELADA,7/20/1977,,12/14/1993
61.104.717/0001-78,COEST CONSTRUTORA SA,CANCELADA,7/20/1977,7/15/1966,1/4/2010
57.500.001/0001-12,COFAP CIA FABRICADORA PECAS,CANCELADA,7/20/1977,,4/19/2002
02.800.026/0001-40,COGNA EDUCAÇÃO S.A.,ATIVO,12/1/1998,8/26/1998,
61.460.762/0001-65,COINVEST CIA. DE INV. INTERLAGOS,CANCELADA,9/5/1969,,11/27/2003
08.331.753/0001-91,COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE,CANCELADA,7/20/1977,,9/21/2004
61.189.601/0001-89,COLDEX FRIGOR SA,CANCELADA,10/11/1985,,11/1/2001
61.565.552/0001-31,COLMEIA SA IND.PAULISTA RAD.,CANCELADA,7/20/1977,,3/3/1994
47.309.463/0001-01,COLUMBIA PARTICIPACOES SA,CANCELADA,6/7/1989,,11/10/1992
25.369.840/0001-57,COMERC PARTICIPAÇÕES S.A.,ATIVO,10/8/2021,7/15/2016,
17.177.973/0001-01,COMERCIAL IMPORTADORA SA,CANCELADA,7/20/1977,,12/20/2005
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,CANCELADA,7/18/1996,5/20/1996,12/6/2019
33.078.262/0001-28,COMERCIO E INDUSTRIA INDUCO SA,CANCELADA,7/4/1972,,12/20/2005
60.394.939/0001-00,COMIND BANCO INVESTIMENTO SA,CANCELADA,10/3/1969,,3/13/1992
47.184.932/0001-03,COMIND LEASING SA ARR MERC,CANCELADA,1/4/1985,,1/12/1993
61.364.022/0001-25,COMIND PARTICIPACOES SA,CANCELADA,9/18/1969,,3/21/2006
61.364.345/0001-19,COMIND SA,CANCELADA,12/27/1982,,1/21/1993
61.181.251/0001-04,COMIND SA SERV TEC PROC DADOS,CANCELADA,10/28/1981,,3/18/1992
62.297.502/0001-83,COMMANDER SA,CANCELADA,12/30/1980,,7/9/1991
04.896.759/0001-55,COMPANHIA  AMAZÔNIA TÊXTIL DE  ANIAGEM,CANCELADA,12/9/1975,,4/16/2001
62.791.116/0001-43,COMPANHIA  ELDORADO DE HOTEIS,CANCELADA,11/21/1972,4/10/1970,7/19/2007
60.730.348/0001-66,COMPANHIA  MELHORAMENTOS DE SÃO PAULO,ATIVO,7/20/1977,11/30/1967,
27.251.974/0001-02,COMPANHIA  SIDERÚRGICA  DE  TUBARÃO,CANCELADA,3/11/1993,,3/6/2006
12.078.880/0001-06,COMPANHIA AURIFERA BRASILEIRA SA,CANCELADA,8/3/2012,5/19/2010,8/27/2018
61.409.892/0001-73,COMPANHIA BRASILEIRA DE ALUMINIO,ATIVO,7/13/2021,12/12/1941,
60.522.000/0001-83,COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC),CANCELADA,3/6/1970,,1/18/2000
57.494.031/0001-63,COMPANHIA BRASILEIRA DE CARTUCHOS - CBC,CANCELADA,6/15/1988,3/26/1926,11/14/2007
47.508.411/0001-56,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,ATIVO,4/4/1995,11/11/1981,
47.508.411/0001-56,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,ATIVO,4/4/1995,11/11/1981,
22.983.283/0001-71,COMPANHIA CARIOCA DE SECURITIZAÇÃO,CANCELADA,6/27/2016,6/30/2015,11/10/2020
08.560.444/0001-93,COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR,ATIVO,3/14/2008,12/4/2006,
24.030.025/0001-04,COMPANHIA CIMENTO PORTLAND ITAU,CANCELADA,7/11/1939,3/10/1937,5/21/2004
07.040.108/0001-57,COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ  - CAGECE,ATIVO,1/19/2000,7/21/1971,
02.808.708/0001-07,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,CANCELADA,12/17/1998,9/14/1998,12/12/2013
61.784.278/0001-91,COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL,CANCELADA,11/27/2012,4/17/1967,1/29/2016
47.189.014/0001-69,COMPANHIA DE EMBALAGENS METÁLICAS - MMSA,CANCELADA,5/29/1993,,2/20/2006
17.245.234/0001-00,COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA,ATIVO,8/11/1969,1883-04-02,
22.261.473/0001-85,COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG,ATIVO,10/6/2020,7/15/1986,
61.856.571/0001-17,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,ATIVO,7/3/1996,11/11/1968,
61.856.571/0001-17,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,ATIVO,7/3/1996,11/11/1968,
01.028.049/0001-15,COMPANHIA DE INVESTIMENTOS PARTICIPAR,CANCELADA,2/28/1996,1/11/1996,8/20/2001
10.215.988/0001-60,COMPANHIA DE LOCAÇÃO DAS AMERICAS,ATIVO,12/30/2011,7/18/2008,
01.996.119/0001-29,COMPANHIA DE PARTICIPAÇÕES ALPHA,CANCELADA,9/16/1997,1/1/1997,11/27/2008
17.281.106/0001-03,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,ATIVO,9/17/2003,7/5/1963,
17.281.106/0001-03,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,ATIVO,9/17/2003,7/5/1963,
25.089.509/0001-83,COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS,CANCELADA,12/21/2015,4/25/1989,
62.070.362/0001-06,COMPANHIA DO METROPOLITANO DE SÃO PAULO - METRÔ,ATIVO,1/6/2023,4/24/1968,
00.070.698/0001-11,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,ATIVO,7/4/1994,12/16/1968,
28.925.264/0001-75,COMPANHIA ENERGÉTICA JAGUARA,ATIVO,4/27/2018,10/9/2017,
28.942.127/0001-49,COMPANHIA ENERGÉTICA MIRANDA,ATIVO,4/27/2018,10/9/2017,
19.527.586/0001-75,COMPANHIA ENERGÉTICA SINOP S.A.,ATIVO,6/22/2017,10/28/2013,
39.881.421/0001-04,COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G,ATIVO,3/30/2023,10/13/2020,
12.646.054/0001-08,COMPANHIA FERRÍFERA BRASILEIRA S.A.,CANCELADA,3/26/2013,4/15/2010,1/7/2016
31.456.338/0001-86,COMPANHIA FLUMINENSE DE REFRIGERANTES,CANCELADA,7/27/1972,1/7/1949,1/6/2006
19.526.748/0001-50,COMPANHIA INDUSTRIAL CATAGUASES,ATIVO,12/19/1973,11/12/1936,
21.254.073/0001-80,COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES,ATIVO,4/2/1969,5/1/1911,
08.493.364/0001-62,COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES,CANCELADA,3/4/2009,12/1/2006,6/12/2023
42.416.651/0001-07,COMPANHIA PARAIBUNA DE METAIS,CANCELADA,12/12/1984,,12/9/2002
76.483.817/0001-20,COMPANHIA PARANAENSE DE ENERGIA COPEL,ATIVO,4/4/1994,10/26/1954,
76.483.817/0001-20,COMPANHIA PARANAENSE DE ENERGIA COPEL,ATIVO,4/4/1994,10/26/1954,
23.043.212/0001-51,COMPANHIA PARANAENSE DE SECURITIZAÇÃO - PRSEC,CANCELADA,4/29/2016,7/16/2015,8/13/2018
33.050.196/0001-88,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,ATIVO,8/19/1969,1/1/1912,
11.274.829/0001-07,COMPANHIA PAULISTA DE SECURITIZAÇÃO,ATIVO,7/20/2010,10/15/2009,
57.487.142/0001-42,COMPANHIA PAULISTA FERRO LIGAS,CANCELADA,3/28/1973,,12/23/2002
76.500.180/0001-32,COMPANHIA PROVIDENCIA IND E COMERCIO,CANCELADA,7/25/2007,1/1/2005,12/28/2015
27.137.879/0001-74,COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG,ATIVO,6/14/2017,2/3/2017,
